5	q	23.3	127300000	130600000	gpos	100
5	q	31.1	130600000	136200000	gneg	
5	q	31.2	136200000	139500000	gpos	25
5	q	31.3	139500000	144500000	gneg	
5	q	32	144500000	149800000	gpos	75
5	q	33.1	149800000	152700000	gneg	
5	q	33.2	152700000	155700000	gpos	50
5	q	33.3	155700000	159900000	gneg	
5	q	34	159900000	168500000	gpos	100
5	q	35.1	168500000	172800000	gneg	
5	q	35.2	172800000	176600000	gpos	25
5	q	35.3	176600000	180915260	gneg	
6	p	25.3	1	2300000	gneg	
6	p	25.2	2300000	4200000	gpos	25
6	p	25.1	4200000	7100000	gneg	
6	p	24.3	7100000	10600000	gpos	50
6	p	24.2	10600000	11600000	gneg	
6	p	24.1	11600000	13400000	gpos	25
6	p	23	13400000	15200000	gneg	
6	p	22.3	15200000	25200000	gpos	75
6	p	22.2	25200000	27000000	gneg	
6	p	22.1	27000000	30400000	gpos	50
6	p	21.33	30400000	32100000	gneg	
6	p	21.32	32100000	33500000	gpos	25
6	p	21.31	33500000	36600000	gneg	
6	p	21.2	36600000	40500000	gpos	25
6	p	21.1	40500000	46200000	gneg	
6	p	12.3	46200000	51800000	gpos	100
6	p	12.2	51800000	52900000	gneg	
6	p	12.1	52900000	57000000	gpos	100
6	p	11.2	57000000	58700000	gneg	
6	p	11.1	58700000	61000000	acen	
6	q	11.1	61000000	63300000	acen	
6	q	11.2	63300000	63400000	gneg	
6	q	12	63400000	70000000	gpos	100
6	q	13	70000000	75900000	gneg	
6	q	14.1	75900000	83900000	gpos	50
6	q	14.2	83900000	84900000	gneg	
6	q	14.3	84900000	88000000	gpos	50
6	q	15	88000000	93100000	gneg	
6	q	16.1	93100000	99500000	gpos	100
6	q	16.2	99500000	100600000	gneg	
6	q	16.3	100600000	105500000	gpos	100
6	q	21	105500000	114600000	gneg	
6	q	22.1	114600000	118300000	gpos	75
6	q	22.2	118300000	118500000	gneg	
6	q	22.31	118500000	126100000	gpos	100
6	q	22.32	126100000	127100000	gneg	
6	q	22.33	127100000	130300000	gpos	75
6	q	23.1	130300000	131200000	gneg	
6	q	23.2	131200000	135200000	gpos	50
6	q	23.3	135200000	139000000	gneg	
6	q	24.1	139000000	142800000	gpos	75
6	q	24.2	142800000	145600000	gneg	
6	q	24.3	145600000	149000000	gpos	75
6	q	25.1	149000000	152500000	gneg	
6	q	25.2	152500000	155500000	gpos	50
6	q	25.3	155500000	161000000	gneg	
6	q	26	161000000	164500000	gpos	50
6	q	27	164500000	171115067	gneg	
7	p	22.3	1	2800000	gneg	
7	p	22.2	2800000	4500000	gpos	25
7	p	22.1	4500000	7300000	gneg	
7	p	21.3	7300000	13800000	gpos	100
7	p	21.2	13800000	16500000	gneg	
7	p	21.1	16500000	20900000	gpos	100
7	p	15.3	20900000	25500000	gneg	
7	p	15.2	25500000	28000000	gpos	50
7	p	15.1	28000000	28800000	gneg	
7	p	14.3	28800000	35000000	gpos	75
7	p	14.2	35000000	37200000	gneg	
7	p	14.1	37200000	43300000	gpos	75
7	p	13	43300000	45400000	gneg	
7	p	12.3	45400000	49000000	gpos	75
7	p	12.2	49000000	50500000	gneg	
7	p	12.1	50500000	54000000	gpos	75
7	p	11.2	54000000	58000000	gneg	
7	p	11.1	58000000	59900000	acen	
7	q	11.1	59900000	61700000	acen	
7	q	11.21	61700000	67000000	gneg	
7	q	11.22	67000000	72200000	gpos	50
7	q	11.23	72200000	77500000	gneg	
7	q	21.11	77500000	86400000	gpos	100
7	q	21.12	86400000	88200000	gneg	
7	q	21.13	88200000	91100000	gpos	75
7	q	21.2	91100000	92800000	gneg	
7	q	21.3	92800000	98000000	gpos	75
7	q	22.1	98000000	103800000	gneg	
7	q	22.2	103800000	104500000	gpos	50
7	q	22.3	104500000	107400000	gneg	
7	q	31.1	107400000	114600000	gpos	75
7	q	31.2	114600000	117400000	gneg	
7	q	31.31	117400000	121100000	gpos	75
7	q	31.32	121100000	123800000	gneg	
7	q	31.33	123800000	127100000	gpos	75
7	q	32.1	127100000	129200000	gneg	
7	q	32.2	129200000	130400000	gpos	25
7	q	32.3	130400000	132600000	gneg	
7	q	33	132600000	138200000	gpos	50
7	q	34	138200000	143100000	gneg	
7	q	35	143100000	147900000	gpos	75
7	q	36.1	147900000	152600000	gneg	
7	q	36.2	152600000	155100000	gpos	25
7	q	36.3	155100000	159138663	gneg	
8	p	23.3	1	2200000	gneg	
8	p	23.2	2200000	6200000	gpos	75
8	p	23.1	6200000	12700000	gneg	
8	p	22	12700000	19000000	gpos	100
8	p	21.3	19000000	23300000	gneg	
8	p	21.2	23300000	27400000	gpos	50
8	p	21.1	27400000	28800000	gneg	
8	p	12	28800000	36500000	gpos	75
8	p	11.23	36500000	38300000	gneg	
8	p	11.22	38300000	39700000	gpos	25
8	p	11.21	39700000	43100000	gneg	
8	p	11.1	43100000	45600000	acen	
8	q	11.1	45600000	48100000	acen	
8	q	11.21	48100000	52200000	gneg	
8	q	11.22	52200000	52600000	gpos	75
8	q	11.23	52600000	55500000	gneg	
8	q	12.1	55500000	61600000	gpos	50
8	q	12.2	61600000	62200000	gneg	
8	q	12.3	62200000	66000000	gpos	50
8	q	13.1	66000000	68000000	gneg	
8	q	13.2	68000000	70500000	gpos	50
8	q	13.3	70500000	73900000	gneg	
8	q	21.11	73900000	78300000	gpos	100
8	q	21.12	78300000	80100000	gneg	
8	q	21.13	80100000	84600000	gpos	75
8	q	21.2	84600000	86900000	gneg	
8	q	21.3	86900000	93300000	gpos	100
8	q	22.1	93300000	99000000	gneg	
8	q	22.2	99000000	101600000	gpos	25
8	q	22.3	101600000	106200000	gneg	
8	q	23.1	106200000	110500000	gpos	75
8	q	23.2	110500000	112100000	gneg	
8	q	23.3	112100000	117700000	gpos	100
8	q	24.11	117700000	119200000	gneg	
8	q	24.12	119200000	122500000	gpos	50
8	q	24.13	122500000	127300000	gneg	
